TimesH,Frame,1,2,3,4,5,6,7,8,9,10,11,12
144.0,144,80.173,83.495,40.016999999999996,34.619,42.975,35.599000000000004,32.298,26.074,35.452,31.545,41.356,38.175
145.0,145,79.946,82.58200000000001,42.323,36.595,45.56399999999999,37.669000000000004,35.99,28.488000000000003,37.663000000000004,32.39,42.146,39.28
146.0,146,80.06,82.639,44.818000000000005,39.01,48.336000000000006,40.146,39.796,31.565,40.089,33.68,42.836999999999996,40.382
147.0,147,80.675,82.22399999999999,46.827,41.165,50.568000000000005,42.481,43.688,35.031,42.412,34.766999999999996,43.657,41.409
148.0,148,81.381,82.069,48.847,43.435,52.836999999999996,44.879,47.31,38.857,44.637,36.051,44.138999999999996,42.601000000000006
149.0,149,82.281,82.34100000000001,50.16,45.443000000000005,54.309,47.028999999999996,50.425,41.926,46.052,37.135999999999996,44.45,43.275
150.0,150,82.72200000000001,82.35600000000001,51.246,47.256,55.521,48.965,52.583999999999996,44.934,47.232,38.106,44.31399999999999,43.727
151.0,151,82.93700000000001,82.24700000000001,51.765,48.5,56.11,50.306000000000004,53.903999999999996,47.336000000000006,47.968999999999994,39.016999999999996,44.093999999999994,43.925
152.0,152,83.53299999999999,82.066,51.473,49.077,55.876000000000005,50.938,54.195,48.773999999999994,47.909,39.400999999999996,43.825,44.121
153.0,153,83.661,81.90100000000001,50.31399999999999,49.013999999999996,54.603,50.915,53.15,48.885,47.148999999999994,39.602,43.408,43.758
154.0,154,83.554,81.99600000000001,49.1,48.757,53.278,50.684,51.24100000000001,48.378,45.841,39.485,42.907,43.043
155.0,155,83.464,82.056,47.356,47.83,51.37,49.696999999999996,48.675,47.651,44.043,39.139,42.053000000000004,42.217
156.0,156,83.094,82.194,45.428999999999995,46.361999999999995,49.242,48.18,45.533,45.498000000000005,42.068000000000005,38.595,41.553000000000004,41.367
157.0,157,83.03399999999999,82.28399999999999,43.383,44.608000000000004,47.013999999999996,46.373999999999995,42.003,42.815,39.71,37.569,40.723,40.345
158.0,158,82.93799999999999,82.484,41.207,42.688,44.586000000000006,44.309,38.383,40.034,37.211,36.366,39.904,39.185
159.0,159,82.02799999999999,82.48700000000001,39.26,40.794000000000004,42.433,42.332,35.437,37.059,34.953,35.12,39.299,38.156
160.0,160,81.127,82.065,37.461999999999996,38.731,40.438,40.141,32.373000000000005,33.951,32.951,33.882,38.844,37.376
161.0,161,80.578,81.98100000000001,35.906,36.719,38.665,37.98,29.807,31.103,31.008000000000003,32.47,38.507,36.465
162.0,162,79.744,81.49,34.843,35.025,37.493,36.157,27.581999999999997,28.362,29.415,31.307,38.229,35.771
163.0,163,78.801,81.069,34.367,33.858000000000004,36.891999999999996,34.955999999999996,26.089000000000002,26.212,28.349,30.223000000000003,38.147,35.096
164.0,164,77.668,80.462,33.871,32.853,36.35,33.854,25.031999999999996,24.607,27.964000000000002,29.555999999999997,38.317,34.813
165.0,165,76.515,80.018,34.066,32.153,36.514,33.118,24.605999999999998,23.623,27.965,28.979,38.444,34.871
166.0,166,75.98100000000001,79.85,34.691,31.98,37.175,32.9,24.868000000000002,22.881999999999998,28.31,28.666999999999998,38.555,34.758
167.0,167,75.199,79.21600000000001,35.813,32.119,38.396,33.016,,,,,,
